Classifier,ADASYN,BorderlineSMOTE,RandomOverSampler,RandomUnderSampler,SMOTE
DecisionTreeClassifier,96.07843137254902,98.0392156862745,75.0,99.34640522875817,97.38562091503267
GradientBoostingClassifier,98.36601307189542,99.34640522875817,75.0,99.34640522875817,97.7124183006536
LogisticRegression,91.50326797385621,98.36601307189542,25.0,90.84967320261438,91.17647058823529
RandomForestClassifier,99.01960784313727,100.0,50.0,99.67320261437908,98.69281045751634
SVC,67.64705882352942,83.00653594771242,0.0,77.12418300653596,69.6078431372549
